experiment alias	Run	URL
GSM3212403	SRR7413401	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413401/SRR7413401.sra
GSM3212403	SRR7413402	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413402/SRR7413402.sra
GSM3212402	SRR7413399	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413399/SRR7413399.sra
GSM3212402	SRR7413400	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413400/SRR7413400.sra
GSM3212401	SRR7413397	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413397/SRR7413397.sra
GSM3212401	SRR7413398	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413398/SRR7413398.sra
GSM3212400	SRR7413395	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413395/SRR7413395.sra
GSM3212400	SRR7413396	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413396/SRR7413396.sra
GSM3212399 	SRR7413393	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413393/SRR7413393.sra
GSM3212399 	SRR7413394	https://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR741/SRR7413394/SRR7413394.sra
